iter	Passed	Remaining
0	207	20522
1	354	17349
2	503	16269
3	670	16101
4	833	15836
5	1002	15699
6	1158	15384
7	1324	15226
8	1567	15850
9	1708	15379
10	1849	14963
11	1974	14479
12	2101	14065
13	2264	13908
14	2426	13750
15	2579	13542
16	2718	13273
17	2854	13002
18	3002	12801
19	3145	12583
20	3297	12404
21	3442	12204
22	3602	12061
23	3756	11894
24	3925	11777
25	4094	11653
26	4233	11447
27	4389	11286
28	4552	11144
29	4718	11009
30	4857	10810
31	5019	10665
32	5155	10467
33	5296	10280
34	5459	10139
35	5611	9976
36	5819	9909
37	5966	9734
38	6120	9573
39	6259	9389
40	6401	9211
41	6556	9054
42	6707	8891
43	6859	8729
44	7008	8566
45	7171	8418
46	7325	8261
47	7483	8107
48	7637	7949
49	7785	7785
50	7928	7617
51	8083	7462
52	8226	7295
53	8370	7130
54	8518	6969
55	8674	6815
56	8823	6656
57	8972	6497
58	9108	6329
59	9255	6170
60	9399	6009
61	9547	5851
62	9683	5687
63	9831	5530
64	9977	5372
65	10123	5215
66	10271	5059
67	10429	4908
68	10565	4746
69	10700	4586
70	10856	4434
71	11001	4278
72	11149	4123
73	11277	3962
74	11429	3809
75	11570	3653
76	11690	3491
77	11832	3337
78	11993	3188
79	12132	3033
80	12276	2879
81	12416	2725
82	12561	2572
83	12703	2419
84	12846	2266
85	12988	2114
86	13131	1962
87	13265	1808
88	13422	1658
89	13574	1508
90	13718	1356
91	13874	1206
92	14019	1055
93	14177	904
94	14322	753
95	14468	602
96	14605	451
97	14773	301
98	14914	150
99	15062	0
