iter	Logloss
0	0.6739272187
1	0.6575455386
2	0.6430260062
3	0.6288664393
4	0.617955315
5	0.6074847161
6	0.598887041
7	0.5891704661
8	0.5797047538
9	0.5722751512
10	0.5669450612
11	0.563450701
12	0.5592630243
13	0.5532719707
14	0.5475817235
15	0.5431267907
16	0.5392594241
17	0.5369551782
18	0.5322767324
19	0.5290875525
20	0.5259516777
21	0.5239681899
22	0.5213189988
23	0.5192516065
24	0.5164105767
25	0.5133068431
26	0.5114069999
27	0.5090148723
28	0.5065378556
29	0.5037458145
30	0.5014394864
31	0.4998350252
32	0.4979146458
33	0.4966025418
34	0.49590242
35	0.4946505606
36	0.4931700277
37	0.4913531372
38	0.4905537024
39	0.4895326047
40	0.4885741133
41	0.4873890471
42	0.4862804819
43	0.4854862122
44	0.4850256874
45	0.483759109
46	0.4827950036
47	0.4821363824
48	0.4814233725
49	0.4801275543
50	0.4790203135
51	0.4783591066
52	0.4777567422
53	0.4770651662
54	0.4762072817
55	0.4756599528
56	0.4750054005
57	0.4744003289
58	0.4739103924
59	0.4734838016
60	0.4729265467
61	0.4723522792
62	0.4719643086
63	0.4713693335
64	0.4709735079
65	0.4704316419
66	0.4697746795
67	0.4693065833
68	0.4688048703
69	0.4683493565
70	0.467695313
71	0.467306003
72	0.466944422
73	0.4664699317
74	0.4661364125
75	0.4657663234
76	0.4656159697
77	0.4652855911
78	0.4646337589
79	0.4643294273
80	0.464052406
81	0.4637967805
82	0.4633605531
83	0.4629505448
84	0.4626559267
85	0.4623372527
86	0.4621625171
87	0.4619634967
88	0.4613655221
89	0.4611495018
90	0.4608728871
91	0.4604697513
92	0.4602419942
93	0.4597450998
94	0.4594497269
95	0.4591366293
96	0.4590205426
97	0.4586630513
98	0.4585260945
99	0.4582728602
