iter	Logloss
0	0.6743669505
1	0.6576091533
2	0.6437522357
3	0.6265043696
4	0.6156818885
5	0.6021150643
6	0.5928496195
7	0.5840820316
8	0.5769109161
9	0.5701863257
10	0.5631079797
11	0.5569560955
12	0.5508965024
13	0.5467506508
14	0.5423684164
15	0.5388851717
16	0.5354333854
17	0.5319400321
18	0.5290912144
19	0.5267696128
20	0.5222044421
21	0.519113064
22	0.5161349489
23	0.5141103795
24	0.5122320258
25	0.5096052514
26	0.5075819237
27	0.505478083
28	0.5040406914
29	0.5018596244
30	0.4999959552
31	0.4983534144
32	0.4967348953
33	0.4950035004
34	0.4934073515
35	0.4926114164
36	0.4910718896
37	0.4899434151
38	0.4888988192
39	0.4880340186
40	0.4871040158
41	0.4860921802
42	0.485363202
43	0.4846031729
44	0.4839260567
45	0.4833603655
46	0.4828956579
47	0.4823907075
48	0.4817864571
49	0.4814459603
50	0.4809592316
51	0.4804351357
52	0.4794956072
53	0.4789325197
54	0.4784489104
55	0.4775791176
56	0.4766445577
57	0.4762750517
58	0.4757337814
59	0.4753473804
60	0.474872287
61	0.4745689825
62	0.4741394138
63	0.4734283655
64	0.4729198503
65	0.4723697437
66	0.4718024511
67	0.4714100977
68	0.470775157
69	0.4703723701
70	0.4699513823
71	0.4697107654
72	0.4692108214
73	0.4688579791
74	0.4684211278
75	0.4680999528
76	0.4677581047
77	0.4676069062
78	0.467342343
79	0.4668928859
80	0.4663836232
81	0.4661120885
82	0.4658738345
83	0.4654571128
84	0.4652728371
85	0.4650096158
86	0.4647973183
87	0.4646128387
88	0.4641754448
89	0.4639457752
90	0.4638068001
91	0.4635337002
92	0.4630989985
93	0.4628417543
94	0.4625547242
95	0.4621456693
96	0.461920116
97	0.4617656298
98	0.4614598669
99	0.4612201032
