iter	Passed	Remaining
403	4359	1035
404	4371	1025
405	4381	1014
406	4388	1002
407	4398	991
408	4408	980
409	4413	968
410	4422	957
411	4427	945
412	4436	934
413	4443	923
414	4450	911
415	4460	900
416	4466	889
417	4475	877
418	4480	866
419	4488	854
420	4499	844
421	4509	833
422	4522	823
423	4536	813
424	4549	802
425	4562	792
426	4580	783
427	4598	773
428	4616	764
429	4630	753
430	4643	743
431	4650	732
432	4662	721
433	4673	710
434	4686	700
435	4699	689
436	4709	678
437	4715	667
438	4725	656
439	4736	645
440	4742	634
441	4751	623
442	4760	612
443	4767	601
444	4778	590
445	4791	580
446	4804	569
447	4813	558
448	4828	548
449	4861	540
450	4887	531
451	4923	522
452	4947	513
453	4975	504
454	4993	493
455	5015	483
456	5051	475
457	5068	464
458	5098	455
459	5122	445
460	5146	435
461	5174	425
462	5196	415
463	5218	404
464	5230	393
465	5242	382
466	5253	371
467	5264	359
468	5279	348
469	5290	337
470	5301	326
471	5316	315
472	5346	305
473	5370	294
474	5407	284
475	5445	274
476	5507	265
477	5561	255
478	5605	245
479	5615	233
480	5635	222
481	5648	210
482	5663	199
483	5674	187
484	5685	175
485	5703	164
486	5717	152
487	5740	141
488	5782	130
489	5821	118
490	5842	107
491	5856	95
492	5868	83
493	5880	71
494	5893	59
495	5904	47
496	5912	35
497	5920	23
498	5928	11
499	5936	0
