iter	Passed	Remaining
0	219	263033
1	402	240823
2	567	226578
3	723	216421
4	878	209869
5	1046	208292
6	1211	206462
7	1376	205165
8	1531	202679
9	1685	200546
10	1837	198669
11	1980	196078
12	2127	194230
13	2272	192510
14	2413	190667
15	2571	190309
16	2743	190908
17	2886	189571
18	3036	188740
19	3200	188857
20	3359	188599
21	3504	187630
22	3648	186691
23	3936	192885
24	4299	202087
25	4474	202056
26	4643	201754
27	4794	200685
28	4932	199169
29	5084	198297
30	5247	197881
31	5387	196651
32	5540	195946
33	5699	195450
34	5858	195005
35	5981	193394
36	6136	192894
37	6288	192281
38	6436	191607
39	6611	191738
40	6749	190808
41	6898	190194
42	7058	189914
43	7225	189824
44	7360	188926
45	7518	188621
46	7663	187988
47	7819	187661
48	7955	186874
49	8110	186541
50	8269	186309
51	8414	185756
52	8575	185586
53	8711	184884
54	8868	184618
55	9021	184292
56	9167	183828
57	9314	183401
58	9573	185142
59	9879	187702
60	10036	187406
61	10192	187077
62	10336	186544
63	10481	186054
64	10626	185559
65	10772	185095
66	10929	184821
67	11076	184390
68	11230	184090
69	11393	183926
70	11536	183447
71	11698	183272
72	11845	182869
73	11979	182276
74	12118	181780
75	12261	181337
76	12403	180894
77	12549	180524
78	12702	180248
79	12838	179737
80	12971	179196
81	13123	178928
82	13264	178516
83	13424	178360
84	13569	178003
85	13717	177694
86	13868	177424
87	14016	177112
88	14171	176903
89	14322	176650
90	14490	176596
91	14634	176251
92	14801	176185
93	14973	176175
94	15235	177218
95	15463	177828
96	15610	177512
97	15741	177011
98	15895	176781
99	16048	176529
100	16195	176229
101	16356	176071
102	16512	175870
103	16645	175421
104	16809	175296
105	16958	175028
106	17087	174547
107	17243	174347
108	17398	174145
109	17554	173949
110	17709	173742
111	17848	173386
112	18001	173169
113	18175	173142
114	18327	172914
115	18489	172784
116	18647	172607
117	18787	172273
118	18924	171906
119	19079	171715
120	19217	171370
121	19375	171205
122	19556	171235
123	19704	170983
124	19855	170755
125	19985	170353
126	20130	170076
127	20257	169656
128	20410	169453
129	20678	170199
130	20979	171203
131	21143	171071
132	21287	170782
133	21437	170542
134	21579	170240
135	21716	169896
136	21876	169743
137	22041	169626
138	22185	169344
139	22327	169050
140	22466	168739
141	22595	168351
142	22737	168069
143	22880	167787
144	23028	167550
145	23170	167269
146	23322	167063
147	23473	166853
148	23626	166652
149	23774	166424
150	23933	166265
151	24088	166083
152	24242	165897
153	24388	165649
154	24542	165461
155	24691	165246
156	24856	165130
157	24992	164825
158	25135	164565
159	25303	164469
160	25430	164116
161	25581	163912
162	25729	163688
163	25880	163490
164	26070	163534
165	26278	163689
166	26560	164290
167	26709	164074
168	26855	163835
169	27002	163603
170	27159	163434
171	27284	163072
172	27425	162810
173	27575	162597
174	27724	162385
175	27859	162091
176	28013	161910
177	28166	161721
178	28303	161440
179	28447	161203
180	28600	161018
181	28754	160835
182	28900	160608
183	29036	160334
184	29173	160059
185	29333	159912
186	29467	159629
187	29611	159398
188	29745	159112
189	29889	158884
190	30006	158515
191	30166	158372
192	30305	158124
193	30445	157878
194	30586	157635
195	30727	157398
196	30869	157166
197	31037	157066
198	31188	156882
199	31327	156636
200	31477	156445
201	31697	156604
202	31997	157151
203	32157	157006
204	32312	156834
205	32464	156647
206	32616	156465
207	32776	156318
208	32914	156067
209	33035	155737
210	33203	155629
211	33342	155390
212	33493	155203
213	33645	155019
214	33805	154878
215	33941	154623
216	34070	154338
217	34210	154103
218	34357	153902
219	34496	153666
220	34639	153449
221	34790	153267
222	34924	153009
223	35063	152777
224	35203	152550
225	35370	152438
226	35523	152264
227	35677	152098
228	35831	151931
229	35987	151772
230	36148	151635
231	36296	151444
232	36446	151261
233	36588	151043
234	36744	150887
235	36861	150567
236	36999	150341
237	37202	150373
238	37494	150762
239	37682	150731
240	37828	150527
241	37969	150308
242	38114	150104
243	38253	149878
244	38386	149629
245	38532	149431
246	38684	149256
247	38828	149053
248	38978	148868
249	39129	148693
250	39295	148572
251	39434	148349
252	39580	148153
253	39731	147977
254	39875	147775
255	40006	147522
256	40154	147335
257	40294	147121
258	40444	146943
259	40597	146775
260	40742	146580
261	40900	146429
262	41061	146290
263	41213	146121
264	41357	145920
265	41507	145742
266	41654	145558
267	41792	145338
268	41908	145043
269	42051	144845
270	42183	144606
271	42329	144419
272	42472	144220
273	42656	144161
274	42904	144316
275	43146	144447
276	43294	144261
277	43432	144044
278	43570	143830
279	43703	143597
280	43853	143420
281	43984	143182
282	44128	142989
283	44278	142813
284	44428	142637
285	44566	142426
286	44714	142245
287	44868	142084
288	45021	141917
289	45155	141694
290	45290	141474
291	45431	141272
292	45594	141140
293	45718	140888
294	45876	140740
295	46030	140580
296	46160	140346
297	46314	140185
298	46467	140025
299	46622	139866
300	46783	139729
301	46928	139542
302	47090	139405
303	47221	139179
304	47364	138987
305	47511	138808
306	47657	138625
307	47787	138396
308	47939	138233
309	48101	138097
310	48312	138102
311	48597	138314
312	48771	138212
313	48895	137965
314	49031	137756
315	49173	137562
316	49315	137368
317	49445	137140
318	49610	137013
319	49757	136833
320	49908	136664
321	50063	136508
322	50212	136335
323	50347	136123
324	50496	135952
325	50648	135787
326	50780	135570
327	50922	135378
328	51075	135219
329	51217	135026
330	51348	134809
331	51493	134628
332	51648	134471
333	51814	134346
334	51943	134123
335	52087	133938
336	52238	133773
337	52394	133621
338	52520	133394
339	52668	133219
340	52808	133028
341	52966	132880
342	53120	132725
343	53272	132562
344	53420	132389
345	53563	132206
346	53707	132025
347	53919	132009
348	54234	132244
349	54375	132053
350	54511	131851
351	54686	131744
352	54824	131548
353	54954	131331
354	55096	131144
355	55259	131009
356	55407	130836
357	55557	130669
358	55697	130477
359	55838	130289
360	55983	130110
361	56119	129911
362	56291	129796
363	56434	129613
364	56576	129428
365	56739	129290
366	56869	129080
367	57018	128910
368	57160	128726
369	57291	128519
370	57428	128325
371	57555	128107
372	57718	127970
373	57870	127810
374	58008	127618
375	58136	127405
376	58270	127205
377	58421	127042
378	58568	126873
379	58709	126688
380	58844	126492
381	58990	126320
382	59133	126140
383	59282	125974
384	59530	126019
385	59816	126140
386	59948	125939
387	60068	125710
388	60223	125556
389	60364	125372
390	60510	125198
391	60629	124970
392	60783	124814
393	60946	124677
394	61085	124490
395	61244	124345
396	61391	124175
397	61540	124008
398	61695	123855
399	61830	123660
400	61973	123484
401	62105	123284
402	62266	123141
403	62403	122953
404	62555	122793
405	62698	122616
406	62821	122401
407	62972	122240
408	63115	122064
409	63265	121902
410	63418	121745
411	63548	121544
412	63678	121344
413	63834	121192
414	63973	121009
415	64104	120812
416	64242	120627
417	64389	120460
418	64554	120326
419	64697	120152
420	64877	120045
421	65139	120090
422	65357	120053
423	65516	119908
424	65672	119755
425	65828	119603
426	65973	119431
427	66118	119260
428	66255	119074
429	66401	118904
430	66547	118735
431	66676	118535
432	66828	118378
433	66946	118159
434	67089	117985
435	67227	117801
436	67361	117613
437	67503	117437
438	67639	117251
439	67781	117077
440	67918	116894
441	68058	116716
442	68197	116535
443	68337	116357
444	68473	116173
445	68645	116051
446	68789	115879
447	68933	115709
448	69083	115548
449	69221	115369
450	69362	115193
451	69508	115027
452	69635	114829
453	69784	114667
454	69921	114486
455	70078	114338
456	70215	114157
457	70372	114010
458	70608	113989
459	70873	114014
460	71023	113853
461	71159	113669
462	71288	113476
463	71423	113291
464	71542	113082
465	71673	112893
466	71803	112702
467	71928	112503
468	72065	112323
469	72210	112156
470	72342	111969
471	72502	111826
472	72653	111667
473	72790	111489
474	72934	111321
475	73071	111142
476	73282	111076
477	73424	110904
478	73549	110707
479	73690	110535
480	73913	110485
481	74077	110347
482	74287	110277
483	74480	110182
484	74621	110009
485	74806	109900
486	75014	109825
487	75219	109746
488	75429	109673
489	75560	109485
490	75719	109338
491	75955	109301
492	76234	109325
493	76472	109290
494	76751	109313
495	76948	109216
496	77064	109007
497	77200	108825
498	77333	108638
499	77478	108470
500	77609	108281
501	77749	108106
502	77881	107919
503	78027	107751
504	78186	107602
505	78329	107431
506	78468	107255
507	78600	107069
508	78745	106902
509	78904	106752
510	79037	106568
511	79176	106394
512	79320	106224
513	79482	106079
514	79632	105918
515	79773	105746
516	79907	105564
517	80027	105364
518	80155	105175
519	80290	104995
520	80418	104806
521	80567	104644
522	80720	104489
523	80865	104322
524	81001	104145
525	81142	103973
526	81276	103793
527	81428	103635
528	81562	103456
529	81709	103292
530	81844	103114
531	82008	102973
532	82277	102962
533	82482	102870
534	82624	102701
535	82774	102541
536	82910	102363
537	83055	102199
538	83201	102034
539	83347	101869
540	83476	101684
541	83609	101504
542	83752	101336
543	83907	101182
544	84034	100995
545	84161	100809
546	84304	100641
547	84440	100465
548	84561	100271
549	84707	100109
550	84840	99930
551	84975	99753
552	85102	99568
553	85238	99393
554	85381	99226
555	85516	99051
556	85643	98866
557	85793	98708
558	85943	98550
559	86074	98371
560	86213	98200
561	86351	98028
562	86488	97856
563	86615	97672
564	86758	97506
565	86896	97336
566	87039	97170
567	87183	97007
568	87322	96837
569	87514	96726
570	87731	96642
571	87980	96593
572	88120	96425
573	88265	96261
574	88413	96101
575	88549	95928
576	88715	95788
577	88855	95620
578	88989	95445
579	89129	95276
580	89270	95109
581	89421	94952
582	89560	94784
583	89708	94624
584	89831	94438
585	89966	94265
586	90115	94107
587	90250	93934
588	90398	93774
589	90527	93596
590	90676	93437
591	90826	93281
592	90959	93106
593	91087	92927
594	91229	92762
595	91362	92589
596	91487	92406
597	91649	92262
598	91809	92116
599	91968	91968
600	92099	91792
601	92237	91624
602	92386	91467
603	92509	91284
604	92659	91127
605	92811	90973
606	92942	90798
607	93143	90692
608	93436	90674
609	93587	90518
610	93705	90331
611	93862	90181
612	94004	90017
613	94137	89844
614	94288	89688
615	94433	89527
616	94573	89362
617	94720	89202
618	94852	89029
619	94991	88862
620	95118	88685
621	95256	88517
622	95387	88344
623	95528	88180
624	95682	88027
625	95825	87865
626	95948	87684
627	96083	87515
628	96215	87343
629	96352	87176
630	96511	87029
631	96674	86885
632	96823	86728
633	96969	86568
634	97096	86392
635	97242	86234
636	97392	86078
637	97524	85906
638	97679	85756
639	97828	85599
640	97972	85439
641	98140	85299
642	98272	85128
643	98403	84956
644	98583	84827
645	98816	84743
646	99073	84679
647	99200	84503
648	99361	84357
649	99518	84208
650	99651	84037
651	99788	83871
652	99938	83716
653	100076	83550
654	100200	83372
655	100331	83201
656	100465	83033
657	100612	82874
658	100772	82727
659	100899	82554
660	101034	82386
661	101163	82214
662	101312	82058
663	101430	81877
664	101562	81707
665	101700	81543
666	101830	81373
667	101966	81206
668	102099	81038
669	102242	80878
670	102359	80697
671	102499	80535
672	102645	80377
673	102799	80226
674	102925	80053
675	103039	79870
676	103168	79699
677	103317	79545
678	103451	79379
679	103603	79226
680	103744	79065
681	103882	78901
682	104037	78751
683	104248	78643
684	104543	78598
685	104695	78445
686	104848	78293
687	104989	78132
688	105122	77964
689	105264	77804
690	105412	77648
691	105537	77475
692	105695	77326
693	105840	77169
694	105965	76996
695	106108	76837
696	106240	76670
697	106388	76514
698	106538	76360
699	106681	76200
700	106820	76039
701	106951	75871
702	107084	75705
703	107215	75538
704	107357	75378
705	107498	75218
706	107630	75052
707	107778	74897
708	107921	74738
709	108055	74573
710	108190	74409
711	108326	74246
712	108475	74091
713	108611	73929
714	108758	73773
715	108909	73620
716	109056	73465
717	109176	73291
718	109301	73120
719	109425	72950
720	109553	72782
721	109740	72653
722	109988	72564
723	110225	72468
724	110367	72309
725	110510	72151
726	110666	72001
727	110802	71838
728	110941	71677
729	111082	71519
730	111226	71361
731	111362	71198
732	111483	71027
733	111605	70855
734	111745	70695
735	111882	70534
736	112037	70384
737	112168	70219
738	112314	70063
739	112459	69906
740	112592	69743
741	112726	69580
742	112875	69426
743	113014	69266
744	113161	69112
745	113298	68951
746	113453	68801
747	113608	68651
748	113732	68482
749	113870	68322
