iter	Logloss
0	0.6757152967
1	0.658579192
2	0.6430091653
3	0.6281536407
4	0.6174359454
5	0.6068944164
6	0.5976272565
7	0.5899950487
8	0.582266205
9	0.5751217441
10	0.5672905983
11	0.5618098993
12	0.5569579088
13	0.5531009187
14	0.5490523932
15	0.5441172857
16	0.5393296219
17	0.5352734273
18	0.5308832636
19	0.5282022931
20	0.5250086296
21	0.5229480099
22	0.520872871
23	0.5175354914
24	0.5149526249
25	0.5121327573
26	0.5106402171
27	0.5079215652
28	0.506137951
29	0.5042747411
30	0.5017317849
31	0.500912853
32	0.4988870998
33	0.4971607133
34	0.4956061156
35	0.4943420819
36	0.4938128083
37	0.492941971
38	0.4917654567
39	0.4907768848
40	0.4891751656
41	0.4880392985
42	0.4871700936
43	0.4858657753
44	0.4848365255
45	0.4839615706
46	0.4831516588
47	0.4821068066
48	0.4814138158
49	0.4807265432
50	0.4803292402
51	0.4795585127
52	0.4788298251
53	0.4782683935
54	0.4777781153
55	0.4772628202
56	0.47635
57	0.4759920627
58	0.4757719689
59	0.4751225357
60	0.4747835028
61	0.4743632475
62	0.473893358
63	0.473521108
64	0.4731261536
65	0.4728501916
66	0.4723396743
67	0.4714121366
68	0.4711756841
69	0.4706336245
70	0.4702834091
71	0.4697090141
72	0.4692624954
73	0.4690499485
74	0.4688421724
75	0.4683898251
76	0.4681569414
77	0.467854598
78	0.467755827
79	0.4676278099
80	0.4673391685
81	0.4668928651
82	0.4664261911
83	0.4662020044
84	0.4658644679
85	0.4655978114
86	0.4654129048
87	0.4651149496
88	0.4649517722
89	0.4647133741
90	0.4644676568
91	0.4641979134
92	0.4639474428
93	0.4636697993
94	0.4634371682
95	0.4632605115
96	0.4630893658
97	0.4627849872
98	0.4625849412
99	0.4624163633
