iter	Logloss
0	0.689492099
1	0.6865543007
2	0.6833285909
3	0.6797891551
4	0.676502947
5	0.6731990753
6	0.6704385477
7	0.6677542885
8	0.6653678883
9	0.6625246494
10	0.6600778791
11	0.6574480631
12	0.6548329799
13	0.6523470125
14	0.6497929122
15	0.6474517454
16	0.6452748948
17	0.6425640291
18	0.6402908168
19	0.6377479812
20	0.6352447795
21	0.6328424629
22	0.630504677
23	0.6283585731
24	0.6266091686
25	0.6244087708
26	0.6224633863
27	0.6206929846
28	0.6186090999
29	0.6167020186
30	0.6149926879
31	0.6133892717
32	0.6114298007
33	0.6095540669
34	0.6080798453
35	0.6062336498
36	0.6045346834
37	0.6028942076
38	0.6011034382
39	0.5997461919
40	0.5982571957
41	0.5967857961
42	0.59517322
43	0.5936227085
44	0.5921900404
45	0.5908042103
46	0.5894296381
47	0.5877985761
48	0.5865237344
49	0.5852875788
50	0.5836525914
51	0.5826483908
52	0.5812765906
53	0.5801081133
54	0.57889752
55	0.5775990183
56	0.5764177597
57	0.5753284383
58	0.5741649295
59	0.572849576
60	0.5716990237
61	0.5705236391
62	0.5693553339
63	0.5682446088
64	0.5671458782
65	0.5661511432
66	0.5650424067
67	0.5640989431
68	0.5631790576
69	0.5618820374
70	0.5609705931
71	0.5598994603
72	0.5588377036
73	0.5579818498
74	0.5571919371
75	0.5562582459
76	0.5552987525
77	0.5542944599
78	0.5534495204
79	0.552560288
80	0.5517839161
81	0.5508823337
82	0.5498954427
83	0.549020327
84	0.5482089005
85	0.5473049134
86	0.5465041689
87	0.5457297585
88	0.5449491984
89	0.5440432942
90	0.5434124202
91	0.5426506438
92	0.5416842873
93	0.5409493592
94	0.5403043757
95	0.5396178899
96	0.538978142
97	0.5383439818
98	0.5375331752
99	0.536961646
100	0.5362905298
101	0.5355576787
102	0.5347802484
103	0.53412841
104	0.53347132
105	0.5329415382
106	0.5321651701
107	0.5315310646
108	0.5310503449
109	0.5305073365
110	0.5300448866
111	0.529351145
112	0.5287481358
113	0.5281641991
114	0.5275378223
115	0.5270139721
116	0.5263229763
117	0.5256655762
118	0.5250348988
119	0.5244646043
120	0.5238619376
121	0.5232387581
122	0.522793381
123	0.5221089197
124	0.5216606398
125	0.5211373641
126	0.520626138
127	0.5201146443
128	0.5196231526
129	0.5190452768
130	0.5185258897
131	0.5180788682
132	0.5176132675
133	0.5172556297
134	0.5168107105
135	0.5163753729
136	0.515939308
137	0.515456437
138	0.5150039064
139	0.5144452224
140	0.513989489
141	0.5134759363
142	0.5130341057
143	0.5126234844
144	0.5121584403
145	0.5118134855
146	0.511455996
147	0.5110738478
148	0.5106274542
149	0.5101317734
150	0.5097034157
151	0.5094760343
152	0.5090550172
153	0.5085912239
154	0.5081829872
155	0.5078476706
156	0.5075275159
157	0.5070052355
158	0.5066712517
159	0.5063668048
160	0.5060749768
161	0.5055947767
162	0.5052454477
163	0.504874439
164	0.5044277154
165	0.5040427911
166	0.5036951542
167	0.5034809898
168	0.5031420804
169	0.5028406433
170	0.5024627467
171	0.5021583722
172	0.5018446758
173	0.5014434786
174	0.501217602
175	0.5009211141
176	0.5006153152
177	0.5003821572
178	0.5000836914
179	0.4997416808
180	0.4994002047
181	0.4991606976
182	0.4988943093
183	0.4985570983
184	0.498241419
185	0.4979685092
186	0.497627556
187	0.4973208521
188	0.4970319963
189	0.4967426337
190	0.4964126495
191	0.4960879808
192	0.4957690329
193	0.495599163
194	0.4953516555
195	0.4950618872
196	0.4948553418
197	0.4945822007
198	0.494324368
199	0.4940729946
200	0.4937936459
201	0.4936457799
202	0.4934795598
203	0.4932624035
204	0.4930072908
205	0.4927571459
206	0.4924518568
207	0.4921746674
208	0.4918872314
209	0.491673359
210	0.4913582512
211	0.4910956454
212	0.4908987593
213	0.4906556347
214	0.490443084
215	0.4901607808
216	0.4898587065
217	0.4896374963
218	0.4894209234
219	0.4892239739
220	0.4890630616
221	0.4889199273
222	0.4886377691
223	0.4884026125
224	0.4882447516
225	0.4880691154
226	0.4878352691
227	0.4875817665
228	0.4873999157
229	0.4871650258
230	0.4869411834
231	0.4867137898
232	0.4864588065
233	0.4861674693
234	0.4859262717
235	0.4857010272
236	0.4854608699
237	0.4852488158
238	0.4849775466
239	0.4847598984
240	0.4845241761
241	0.4843215811
242	0.4840852805
243	0.4837978918
244	0.4836249773
245	0.4833880291
246	0.4831649891
247	0.4829721967
248	0.4828463938
249	0.4826452613
250	0.4824415613
251	0.4822181001
252	0.4820353738
253	0.4818466296
254	0.4816564373
255	0.4815176039
256	0.4812450746
257	0.4810877593
258	0.4809312743
259	0.480775273
260	0.4805798329
261	0.480402802
262	0.4802358271
263	0.4800326136
264	0.479809463
265	0.4796194056
266	0.4793958832
267	0.4792062641
268	0.4789722859
269	0.4787923785
270	0.478684235
271	0.4784863613
272	0.4783451565
273	0.4781711765
274	0.4779816957
275	0.4778192342
276	0.4777301475
277	0.4774937445
278	0.4773302069
279	0.4770906208
280	0.476922807
281	0.4767836175
282	0.4766600831
283	0.4765590151
284	0.4764035579
285	0.4762955357
286	0.4761923479
287	0.4759909198
288	0.4758024869
289	0.4756585251
290	0.4755219141
