iter	Logloss
0	0.6763786762
1	0.6616617175
2	0.6451665136
3	0.6327877328
4	0.6198895634
5	0.6062010384
6	0.597514167
7	0.5884379999
8	0.5817506
9	0.5755688673
10	0.5681799796
11	0.5615970076
12	0.555150518
13	0.54914958
14	0.5454663443
15	0.5418286858
16	0.539068154
17	0.5364839078
18	0.5322893013
19	0.528000623
20	0.524982531
21	0.5223665164
22	0.5198020187
23	0.5168981574
24	0.5157667893
25	0.5129828549
26	0.5108972104
27	0.5094719791
28	0.5075175878
29	0.5055338244
30	0.5032804258
31	0.501366902
32	0.4998699417
33	0.4987144253
34	0.4973430847
35	0.496344674
36	0.4952969644
37	0.4943748771
38	0.4931793545
39	0.4921460224
40	0.4913091322
41	0.4903761921
42	0.4893461224
43	0.4881650981
44	0.4871234306
45	0.4860877443
46	0.4854735967
47	0.4846709735
48	0.4839870254
49	0.4832741888
50	0.4825954284
51	0.4818137108
52	0.4811422951
53	0.4806755201
54	0.4799867146
55	0.4792355481
56	0.4787269825
57	0.4781175354
58	0.477424782
59	0.4769121781
60	0.4762556909
61	0.4760755798
62	0.4754290932
63	0.4747092533
64	0.4741362396
65	0.4736431589
66	0.4731913887
67	0.4728067724
68	0.4723954143
69	0.4721775127
70	0.4719188637
71	0.4715040464
72	0.4711780713
73	0.4706077939
74	0.4700880715
75	0.4698899927
76	0.4696341952
77	0.4693761293
78	0.4690515144
79	0.4685455568
80	0.4682387716
81	0.4678271842
82	0.4675405119
83	0.4673600158
84	0.4669402175
85	0.4664134728
86	0.4662170339
87	0.4659521326
88	0.4657650739
89	0.4653132125
90	0.4651568857
91	0.4646906929
92	0.4645144225
93	0.4641383716
94	0.4639959301
95	0.4638823385
96	0.4633658118
97	0.4632096363
98	0.4629840606
99	0.4627438301
