iter	Passed	Remaining
0	178	17719
1	402	19729
2	565	18278
3	712	17101
4	898	17066
5	1074	16835
6	1257	16712
7	1458	16770
8	1633	16514
9	1781	16031
10	1934	15648
11	2087	15309
12	2247	15041
13	2407	14790
14	2556	14485
15	2701	14182
16	2851	13923
17	3001	13673
18	3155	13453
19	3330	13323
20	3483	13103
21	3651	12947
22	3808	12749
23	3964	12554
24	4099	12299
25	4263	12135
26	4422	11957
27	4566	11741
28	4707	11525
29	4868	11359
30	5012	11155
31	5161	10969
32	5312	10785
33	5442	10565
34	5598	10396
35	5754	10230
36	5912	10067
37	6063	9892
38	6206	9708
39	6360	9541
40	6517	9379
41	6671	9212
42	6809	9026
43	6961	8859
44	7099	8676
45	7224	8481
46	7388	8331
47	7533	8161
48	7741	8057
49	7889	7889
50	8035	7720
51	8188	7558
52	8346	7401
53	8491	7233
54	8628	7059
55	8782	6900
56	8924	6732
57	9080	6575
58	9226	6411
59	9379	6253
60	9524	6089
61	9657	5918
62	9797	5754
63	9955	5599
64	10098	5437
65	10251	5281
66	10391	5118
67	10550	4964
68	10700	4807
69	10836	4644
70	10972	4481
71	11107	4319
72	11259	4164
73	11388	4001
74	11523	3841
75	11654	3680
76	11782	3519
77	11908	3358
78	12047	3202
79	12183	3045
80	12315	2888
81	12463	2735
82	12616	2584
83	12749	2428
84	12890	2274
85	13054	2125
86	13183	1969
87	13333	1818
88	13487	1667
89	13637	1515
90	13765	1361
91	13926	1210
92	14065	1058
93	14219	907
94	14353	755
95	14472	603
96	14628	452
97	14751	301
98	14890	150
99	15034	0
